Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Input_Vibration,LinearGuide_Health,LinearGuide_Status,RecoaterMotor_Health,RecoaterMotor_Status,RecoaterBlade_Health,RecoaterBlade_Status,HeatingElement_Health,HeatingElement_Status,NozzlePlate_Health,NozzlePlate_Status
Entorn_Brut_Calor,1,33.94,0.58,9.63,0.5,0.12,0.973,FUNCTIONAL,1.0,FUNCTIONAL,0.998,FUNCTIONAL,0.999,FUNCTIONAL,0.998,FUNCTIONAL
Entorn_Brut_Calor,2,34.17,0.58,9.23,0.5,0.12,0.948,FUNCTIONAL,1.0,FUNCTIONAL,0.996,FUNCTIONAL,0.997,FUNCTIONAL,0.996,FUNCTIONAL
Entorn_Brut_Calor,3,33.93,0.57,9.49,0.5,0.14,0.924,FUNCTIONAL,1.0,FUNCTIONAL,0.994,FUNCTIONAL,0.996,FUNCTIONAL,0.994,FUNCTIONAL
Entorn_Brut_Calor,4,34.89,0.57,10.17,0.5,0.14,0.898,FUNCTIONAL,1.0,FUNCTIONAL,0.992,FUNCTIONAL,0.995,FUNCTIONAL,0.992,FUNCTIONAL
Entorn_Brut_Calor,5,31.71,0.57,10.74,0.5,0.17,0.872,FUNCTIONAL,1.0,FUNCTIONAL,0.99,FUNCTIONAL,0.993,FUNCTIONAL,0.99,FUNCTIONAL
Entorn_Brut_Calor,6,31.47,0.56,10.62,0.5,0.18,0.846,FUNCTIONAL,1.0,FUNCTIONAL,0.988,FUNCTIONAL,0.992,FUNCTIONAL,0.988,FUNCTIONAL
Entorn_Brut_Calor,7,32.77,0.55,9.07,0.5,0.18,0.826,FUNCTIONAL,1.0,FUNCTIONAL,0.986,FUNCTIONAL,0.99,FUNCTIONAL,0.987,FUNCTIONAL
Entorn_Brut_Calor,8,33.22,0.54,11.36,0.5,0.21,0.8,FUNCTIONAL,1.0,FUNCTIONAL,0.984,FUNCTIONAL,0.989,FUNCTIONAL,0.984,FUNCTIONAL
Entorn_Brut_Calor,9,33.97,0.54,8.98,0.5,0.21,0.781,DEGRADED,1.0,FUNCTIONAL,0.982,FUNCTIONAL,0.987,FUNCTIONAL,0.983,FUNCTIONAL
Entorn_Brut_Calor,10,32.14,0.55,9.63,0.52,0.21,0.761,DEGRADED,0.999,FUNCTIONAL,0.98,FUNCTIONAL,0.986,FUNCTIONAL,0.981,FUNCTIONAL
Entorn_Brut_Calor,11,33.75,0.52,8.87,0.55,0.23,0.744,DEGRADED,0.999,FUNCTIONAL,0.978,FUNCTIONAL,0.985,FUNCTIONAL,0.979,FUNCTIONAL
Entorn_Brut_Calor,12,33.41,0.5,9.77,0.57,0.24,0.726,DEGRADED,0.999,FUNCTIONAL,0.976,FUNCTIONAL,0.984,FUNCTIONAL,0.978,FUNCTIONAL
Entorn_Brut_Calor,13,36.02,0.51,9.14,0.59,0.24,0.71,DEGRADED,0.999,FUNCTIONAL,0.974,FUNCTIONAL,0.982,FUNCTIONAL,0.976,FUNCTIONAL
Entorn_Brut_Calor,14,35.87,0.49,7.24,0.61,0.26,0.697,DEGRADED,0.999,FUNCTIONAL,0.972,FUNCTIONAL,0.982,FUNCTIONAL,0.975,FUNCTIONAL
Entorn_Brut_Calor,15,34.29,0.46,7.13,0.62,0.26,0.686,DEGRADED,0.999,FUNCTIONAL,0.971,FUNCTIONAL,0.981,FUNCTIONAL,0.974,FUNCTIONAL
