Cycle,Input_Temp,Input_Contam,Rail_Health,Rail_Status,Motor_Health,Motor_Status,Recoater_Health,Recoater_Status,Nozzle_Health,Nozzle_Status,Heater_Health,Heater_Status
1,35.0,0.8,0.104,CRITICAL,0.994,FUNCTIONAL,0.965,FUNCTIONAL,0.0,FAILED,0.983,FUNCTIONAL
2,35.0,0.8,0.011,FAILED,0.973,FUNCTIONAL,0.904,FUNCTIONAL,0.0,FAILED,0.967,FUNCTIONAL
3,35.0,0.8,0.001,FAILED,0.938,FUNCTIONAL,0.832,FUNCTIONAL,0.0,FAILED,0.95,FUNCTIONAL
4,35.0,0.8,0.0,FAILED,0.891,FUNCTIONAL,0.753,DEGRADED,0.0,FAILED,0.934,FUNCTIONAL
5,35.0,0.8,0.0,FAILED,0.834,FUNCTIONAL,0.672,DEGRADED,0.0,FAILED,0.919,FUNCTIONAL
6,35.0,0.8,0.0,FAILED,0.769,DEGRADED,0.594,DEGRADED,0.0,FAILED,0.903,FUNCTIONAL
7,35.0,0.8,0.0,FAILED,0.698,DEGRADED,0.518,DEGRADED,0.0,FAILED,0.888,FUNCTIONAL
8,35.0,0.8,0.0,FAILED,0.625,DEGRADED,0.448,CRITICAL,0.0,FAILED,0.873,FUNCTIONAL
9,35.0,0.8,0.0,FAILED,0.551,DEGRADED,0.384,CRITICAL,0.0,FAILED,0.858,FUNCTIONAL
10,35.0,0.8,0.0,FAILED,0.478,DEGRADED,0.326,CRITICAL,0.0,FAILED,0.844,FUNCTIONAL
11,35.0,0.8,0.0,FAILED,0.409,CRITICAL,0.274,CRITICAL,0.0,FAILED,0.829,FUNCTIONAL
12,35.0,0.8,0.0,FAILED,0.344,CRITICAL,0.229,CRITICAL,0.0,FAILED,0.815,FUNCTIONAL
13,35.0,0.8,0.0,FAILED,0.286,CRITICAL,0.189,CRITICAL,0.0,FAILED,0.802,FUNCTIONAL
14,35.0,0.8,0.0,FAILED,0.234,CRITICAL,0.156,CRITICAL,0.0,FAILED,0.788,DEGRADED
15,35.0,0.8,0.0,FAILED,0.188,CRITICAL,0.127,CRITICAL,0.0,FAILED,0.775,DEGRADED
16,35.0,0.8,0.0,FAILED,0.149,CRITICAL,0.103,CRITICAL,0.0,FAILED,0.762,DEGRADED
17,35.0,0.8,0.0,FAILED,0.117,CRITICAL,0.083,FAILED,0.0,FAILED,0.749,DEGRADED
18,35.0,0.8,0.0,FAILED,0.09,FAILED,0.067,FAILED,0.0,FAILED,0.736,DEGRADED
19,35.0,0.8,0.0,FAILED,0.068,FAILED,0.053,FAILED,0.0,FAILED,0.724,DEGRADED
20,35.0,0.8,0.0,FAILED,0.051,FAILED,0.042,FAILED,0.0,FAILED,0.712,DEGRADED
21,35.0,0.8,0.0,FAILED,0.038,FAILED,0.033,FAILED,0.0,FAILED,0.7,DEGRADED
22,35.0,0.8,0.0,FAILED,0.027,FAILED,0.026,FAILED,0.0,FAILED,0.688,DEGRADED
23,35.0,0.8,0.0,FAILED,0.019,FAILED,0.02,FAILED,0.0,FAILED,0.676,DEGRADED
24,35.0,0.8,0.0,FAILED,0.014,FAILED,0.015,FAILED,0.0,FAILED,0.665,DEGRADED
25,35.0,0.8,0.0,FAILED,0.009,FAILED,0.012,FAILED,0.0,FAILED,0.654,DEGRADED
26,35.0,0.8,0.0,FAILED,0.006,FAILED,0.009,FAILED,0.0,FAILED,0.643,DEGRADED
27,35.0,0.8,0.0,FAILED,0.004,FAILED,0.007,FAILED,0.0,FAILED,0.632,DEGRADED
28,35.0,0.8,0.0,FAILED,0.003,FAILED,0.005,FAILED,0.0,FAILED,0.621,DEGRADED
29,35.0,0.8,0.0,FAILED,0.002,FAILED,0.004,FAILED,0.0,FAILED,0.611,DEGRADED
30,35.0,0.8,0.0,FAILED,0.001,FAILED,0.003,FAILED,0.0,FAILED,0.601,DEGRADED
31,35.0,0.8,0.0,FAILED,0.001,FAILED,0.002,FAILED,0.0,FAILED,0.59,DEGRADED
32,35.0,0.8,0.0,FAILED,0.0,FAILED,0.002,FAILED,0.0,FAILED,0.58,DEGRADED
33,35.0,0.8,0.0,FAILED,0.0,FAILED,0.001,FAILED,0.0,FAILED,0.571,DEGRADED
34,35.0,0.8,0.0,FAILED,0.0,FAILED,0.001,FAILED,0.0,FAILED,0.561,DEGRADED
35,35.0,0.8,0.0,FAILED,0.0,FAILED,0.001,FAILED,0.0,FAILED,0.552,DEGRADED
36,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.542,DEGRADED
37,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.533,DEGRADED
38,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.524,DEGRADED
39,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.515,DEGRADED
40,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.507,DEGRADED
41,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.498,DEGRADED
42,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.49,DEGRADED
43,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.481,DEGRADED
44,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.473,DEGRADED
45,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.465,DEGRADED
46,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.458,DEGRADED
47,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.45,CRITICAL
48,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.442,CRITICAL
49,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.435,CRITICAL
50,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.427,CRITICAL
51,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.42,CRITICAL
52,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.413,CRITICAL
53,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.406,CRITICAL
54,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.399,CRITICAL
55,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.393,CRITICAL
56,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.386,CRITICAL
57,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.38,CRITICAL
58,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.373,CRITICAL
59,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.367,CRITICAL
60,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.361,CRITICAL
61,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.355,CRITICAL
62,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.349,CRITICAL
63,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.343,CRITICAL
64,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.337,CRITICAL
65,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.331,CRITICAL
66,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.326,CRITICAL
67,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.32,CRITICAL
68,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.315,CRITICAL
69,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.309,CRITICAL
70,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.304,CRITICAL
71,35.0,0.8,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.0,FAILED,0.299,CRITICAL
