Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Rail_Health,Rail_Status,Motor_Health,Motor_Status,Recoater_Health,Recoater_Status,Nozzle_Health,Nozzle_Status,Heater_Health,Heater_Status
Normal (Laboratori),1,25.0,0.1,10.0,0.5,0.939,FUNCTIONAL,1.0,FUNCTIONAL,1.0,FUNCTIONAL,0.925,FUNCTIONAL,0.999,FUNCTIONAL
Normal (Laboratori),2,25.0,0.1,10.0,0.5,0.882,FUNCTIONAL,1.0,FUNCTIONAL,0.999,FUNCTIONAL,0.85,FUNCTIONAL,0.997,FUNCTIONAL
Normal (Laboratori),3,25.0,0.1,10.0,0.5,0.828,FUNCTIONAL,1.0,FUNCTIONAL,0.999,FUNCTIONAL,0.775,DEGRADED,0.996,FUNCTIONAL
Normal (Laboratori),4,25.0,0.1,10.0,0.51,0.778,DEGRADED,1.0,FUNCTIONAL,0.998,FUNCTIONAL,0.701,DEGRADED,0.995,FUNCTIONAL
Normal (Laboratori),5,25.0,0.1,10.0,0.55,0.732,DEGRADED,1.0,FUNCTIONAL,0.997,FUNCTIONAL,0.628,DEGRADED,0.993,FUNCTIONAL
Normal (Laboratori),6,25.0,0.1,10.0,0.59,0.69,DEGRADED,1.0,FUNCTIONAL,0.997,FUNCTIONAL,0.557,DEGRADED,0.992,FUNCTIONAL
Normal (Laboratori),7,25.0,0.1,10.0,0.62,0.651,DEGRADED,1.0,FUNCTIONAL,0.996,FUNCTIONAL,0.488,DEGRADED,0.991,FUNCTIONAL
Normal (Laboratori),8,25.0,0.1,10.0,0.66,0.615,DEGRADED,1.0,FUNCTIONAL,0.995,FUNCTIONAL,0.421,CRITICAL,0.989,FUNCTIONAL
Normal (Laboratori),9,25.0,0.1,10.0,0.69,0.582,DEGRADED,0.999,FUNCTIONAL,0.994,FUNCTIONAL,0.356,CRITICAL,0.988,FUNCTIONAL
Normal (Laboratori),10,25.0,0.1,10.0,0.72,0.552,DEGRADED,0.999,FUNCTIONAL,0.993,FUNCTIONAL,0.292,CRITICAL,0.987,FUNCTIONAL
Normal (Laboratori),11,25.0,0.1,10.0,0.75,0.524,DEGRADED,0.999,FUNCTIONAL,0.992,FUNCTIONAL,0.23,CRITICAL,0.986,FUNCTIONAL
Normal (Laboratori),12,25.0,0.1,10.0,0.79,0.497,DEGRADED,0.999,FUNCTIONAL,0.992,FUNCTIONAL,0.169,CRITICAL,0.985,FUNCTIONAL
Normal (Laboratori),13,25.0,0.1,10.0,0.82,0.473,DEGRADED,0.999,FUNCTIONAL,0.991,FUNCTIONAL,0.11,CRITICAL,0.984,FUNCTIONAL
Normal (Laboratori),14,25.0,0.1,10.0,0.85,0.451,DEGRADED,0.998,FUNCTIONAL,0.99,FUNCTIONAL,0.052,FAILED,0.983,FUNCTIONAL
