Scenario,Cycle,Input_Temp,Input_Contam,Input_Load,Input_Maint,Input_Vibration,Rail_Health,Rail_Status,Motor_Health,Motor_Status,Recoater_Health,Recoater_Status,Nozzle_Health,Nozzle_Status,Heater_Health,Heater_Status
Fred Extrem,1,10.0,0.12,10.0,0.5,0.12,0.983,FUNCTIONAL,1.0,FUNCTIONAL,0.998,FUNCTIONAL,0.999,FUNCTIONAL,0.999,FUNCTIONAL
Fred Extrem,2,10.0,0.1,10.0,0.5,0.12,0.966,FUNCTIONAL,1.0,FUNCTIONAL,0.996,FUNCTIONAL,0.998,FUNCTIONAL,0.997,FUNCTIONAL
Fred Extrem,3,10.0,0.09,10.0,0.5,0.13,0.949,FUNCTIONAL,1.0,FUNCTIONAL,0.994,FUNCTIONAL,0.998,FUNCTIONAL,0.996,FUNCTIONAL
Fred Extrem,4,10.0,0.08,10.0,0.5,0.17,0.934,FUNCTIONAL,1.0,FUNCTIONAL,0.991,FUNCTIONAL,0.997,FUNCTIONAL,0.995,FUNCTIONAL
Fred Extrem,5,15.0,0.09,10.0,0.5,0.13,0.918,FUNCTIONAL,1.0,FUNCTIONAL,0.989,FUNCTIONAL,0.996,FUNCTIONAL,0.993,FUNCTIONAL
Fred Extrem,6,14.03,0.1,10.0,0.5,0.14,0.902,FUNCTIONAL,1.0,FUNCTIONAL,0.987,FUNCTIONAL,0.996,FUNCTIONAL,0.992,FUNCTIONAL
Fred Extrem,7,15.94,0.1,10.0,0.5,0.18,0.887,FUNCTIONAL,1.0,FUNCTIONAL,0.985,FUNCTIONAL,0.995,FUNCTIONAL,0.991,FUNCTIONAL
Fred Extrem,8,12.25,0.11,10.0,0.5,0.19,0.871,FUNCTIONAL,1.0,FUNCTIONAL,0.983,FUNCTIONAL,0.995,FUNCTIONAL,0.99,FUNCTIONAL
Fred Extrem,9,14.44,0.1,10.0,0.5,0.18,0.857,FUNCTIONAL,1.0,FUNCTIONAL,0.981,FUNCTIONAL,0.994,FUNCTIONAL,0.988,FUNCTIONAL
Fred Extrem,10,12.71,0.12,10.0,0.5,0.17,0.842,FUNCTIONAL,1.0,FUNCTIONAL,0.979,FUNCTIONAL,0.993,FUNCTIONAL,0.987,FUNCTIONAL
Fred Extrem,11,11.52,0.11,10.0,0.5,0.16,0.827,FUNCTIONAL,0.999,FUNCTIONAL,0.976,FUNCTIONAL,0.993,FUNCTIONAL,0.986,FUNCTIONAL
Fred Extrem,12,10.0,0.11,10.0,0.5,0.22,0.813,FUNCTIONAL,0.999,FUNCTIONAL,0.974,FUNCTIONAL,0.992,FUNCTIONAL,0.984,FUNCTIONAL
Fred Extrem,13,11.85,0.12,10.0,0.5,0.21,0.798,DEGRADED,0.999,FUNCTIONAL,0.972,FUNCTIONAL,0.991,FUNCTIONAL,0.983,FUNCTIONAL
Fred Extrem,14,10.0,0.12,10.0,0.5,0.2,0.784,DEGRADED,0.999,FUNCTIONAL,0.97,FUNCTIONAL,0.99,FUNCTIONAL,0.982,FUNCTIONAL
Fred Extrem,15,12.71,0.13,10.0,0.52,0.2,0.771,DEGRADED,0.999,FUNCTIONAL,0.968,FUNCTIONAL,0.989,FUNCTIONAL,0.981,FUNCTIONAL
Fred Extrem,16,12.15,0.13,10.0,0.54,0.2,0.757,DEGRADED,0.999,FUNCTIONAL,0.966,FUNCTIONAL,0.989,FUNCTIONAL,0.979,FUNCTIONAL
Fred Extrem,17,10.35,0.14,10.0,0.56,0.24,0.744,DEGRADED,0.999,FUNCTIONAL,0.964,FUNCTIONAL,0.988,FUNCTIONAL,0.978,FUNCTIONAL
Fred Extrem,18,10.0,0.12,10.0,0.58,0.23,0.732,DEGRADED,0.999,FUNCTIONAL,0.962,FUNCTIONAL,0.987,FUNCTIONAL,0.977,FUNCTIONAL
Fred Extrem,19,11.15,0.13,10.0,0.6,0.22,0.72,DEGRADED,0.999,FUNCTIONAL,0.96,FUNCTIONAL,0.986,FUNCTIONAL,0.976,FUNCTIONAL
Fred Extrem,20,12.02,0.11,10.0,0.62,0.22,0.708,DEGRADED,0.999,FUNCTIONAL,0.958,FUNCTIONAL,0.986,FUNCTIONAL,0.975,FUNCTIONAL
Fred Extrem,21,12.53,0.12,10.0,0.64,0.25,0.697,DEGRADED,0.998,FUNCTIONAL,0.956,FUNCTIONAL,0.985,FUNCTIONAL,0.973,FUNCTIONAL
Fred Extrem,22,14.09,0.1,10.0,0.65,0.24,0.686,DEGRADED,0.998,FUNCTIONAL,0.954,FUNCTIONAL,0.984,FUNCTIONAL,0.972,FUNCTIONAL
Fred Extrem,23,14.3,0.08,10.0,0.67,0.23,0.676,DEGRADED,0.998,FUNCTIONAL,0.952,FUNCTIONAL,0.984,FUNCTIONAL,0.971,FUNCTIONAL
Fred Extrem,24,14.57,0.06,10.0,0.69,0.27,0.667,DEGRADED,0.998,FUNCTIONAL,0.95,FUNCTIONAL,0.984,FUNCTIONAL,0.97,FUNCTIONAL
Fred Extrem,25,13.57,0.06,10.0,0.7,0.28,0.657,DEGRADED,0.998,FUNCTIONAL,0.949,FUNCTIONAL,0.983,FUNCTIONAL,0.969,FUNCTIONAL
Fred Extrem,26,10.53,0.04,10.0,0.71,0.25,0.648,DEGRADED,0.998,FUNCTIONAL,0.947,FUNCTIONAL,0.983,FUNCTIONAL,0.968,FUNCTIONAL
Fred Extrem,27,12.15,0.04,10.0,0.73,0.25,0.64,DEGRADED,0.998,FUNCTIONAL,0.945,FUNCTIONAL,0.982,FUNCTIONAL,0.967,FUNCTIONAL
Fred Extrem,28,13.52,0.04,10.0,0.74,0.25,0.631,DEGRADED,0.997,FUNCTIONAL,0.943,FUNCTIONAL,0.982,FUNCTIONAL,0.966,FUNCTIONAL
Fred Extrem,29,13.12,0.02,10.0,0.75,0.3,0.623,DEGRADED,0.997,FUNCTIONAL,0.942,FUNCTIONAL,0.981,FUNCTIONAL,0.965,FUNCTIONAL
Fred Extrem,30,12.56,0.0,10.0,0.77,0.27,0.615,DEGRADED,0.997,FUNCTIONAL,0.94,FUNCTIONAL,0.981,FUNCTIONAL,0.964,FUNCTIONAL
Fred Extrem,31,10.0,0.0,10.0,0.78,0.27,0.608,DEGRADED,0.997,FUNCTIONAL,0.938,FUNCTIONAL,0.981,FUNCTIONAL,0.963,FUNCTIONAL
Fred Extrem,32,11.18,0.0,10.0,0.79,0.27,0.601,DEGRADED,0.997,FUNCTIONAL,0.937,FUNCTIONAL,0.98,FUNCTIONAL,0.962,FUNCTIONAL
Fred Extrem,33,10.03,0.0,10.0,0.8,0.28,0.594,DEGRADED,0.997,FUNCTIONAL,0.935,FUNCTIONAL,0.98,FUNCTIONAL,0.961,FUNCTIONAL
Fred Extrem,34,13.06,0.0,10.0,0.81,0.3,0.586,DEGRADED,0.997,FUNCTIONAL,0.933,FUNCTIONAL,0.98,FUNCTIONAL,0.96,FUNCTIONAL
Fred Extrem,35,14.25,0.0,10.0,0.82,0.29,0.58,DEGRADED,0.996,FUNCTIONAL,0.932,FUNCTIONAL,0.979,FUNCTIONAL,0.959,FUNCTIONAL
Fred Extrem,36,13.78,0.0,10.0,0.83,0.31,0.573,DEGRADED,0.996,FUNCTIONAL,0.93,FUNCTIONAL,0.979,FUNCTIONAL,0.958,FUNCTIONAL
Fred Extrem,37,15.35,0.0,10.0,0.84,0.3,0.566,DEGRADED,0.996,FUNCTIONAL,0.929,FUNCTIONAL,0.979,FUNCTIONAL,0.957,FUNCTIONAL
Fred Extrem,38,16.29,0.0,10.0,0.85,0.28,0.56,DEGRADED,0.996,FUNCTIONAL,0.927,FUNCTIONAL,0.979,FUNCTIONAL,0.956,FUNCTIONAL
